benchmark_set,best_score
drmx-crypt,0.0
railway-tr,0.0
setcover_w,0.0
causal-dis,0.0
protein_in,0.0
timetablin,0.0
switchinga,0.0
MinimumWei,0.0
correlatio,0.0
abstractio,0.0
lisbon-wed,0.0
judgment-a,0.0
